raw_name,heuristic_display,corrected_display
닭튀김_No.1포테이토닥토닭 치킨,No.1포테이토닥토닭 치킨,No.1포테이토닥토닭 치킨
닭튀김_간장 치킨,간장 치킨,간장 치킨
닭튀김_갈비천왕 치킨,갈비천왕 치킨,갈비천왕 치킨
닭튀김_강정 치킨,강정 치킨,강정 치킨
닭튀김_고추바사삭 치킨,고추바사삭 치킨,고추바사삭 치킨
닭튀김_교촌순살 치킨,교촌순살 치킨,교촌순살 치킨
닭튀김_교촌순살 치킨 (S),교촌순살 치킨 (S),교촌순살 치킨 (S)
닭튀김_교촌오리지날 치킨,교촌오리지날 치킨,교촌오리지날 치킨
닭튀김_교촌윙 치킨,교촌윙 치킨,교촌윙 치킨
닭튀김_교촌윙 치킨 (S),교촌윙 치킨 (S),교촌윙 치킨 (S)
닭튀김_교촌콤보 치킨,교촌콤보 치킨,교촌콤보 치킨
닭튀김_교촌콤보 치킨 (S),교촌콤보 치킨 (S),교촌콤보 치킨 (S)
닭튀김_극장판치킨 고추치즈편,극장판치킨 고추치즈편,극장판치킨 고추치즈편
닭튀김_극한왕갈비 치킨,극한왕갈비 치킨,극한왕갈비 치킨
닭튀김_깐풍요리 치킨,깐풍요리 치킨,깐풍요리 치킨
닭튀김_꿀잼 치킨,꿀잼 치킨,꿀잼 치킨
닭튀김_꿔바로우 치킨,꿔바로우 치킨,꿔바로우 치킨
닭튀김_날개,날개닭튀김,날개닭튀김
닭튀김_날다닭 치킨,날다닭 치킨,날다닭 치킨
닭튀김_날다닭간장 치킨,날다닭간장 치킨,날다닭간장 치킨
닭튀김_날다닭마늘 치킨,날다닭마늘 치킨,날다닭마늘 치킨
닭튀김_너겟,너겟닭튀김,너겟닭튀김
닭튀김_눈맞은 치킨,눈맞은 치킨,눈맞은 치킨
닭튀김_다리(넓적다리),다리(넓적다리),다리(넓적다리)
닭튀김_다리(아랫다리),다리(아랫다리),다리(아랫다리)
닭튀김_단짠갈릭 치킨,단짠갈릭 치킨,단짠갈릭 치킨
닭튀김_닭가슴살,닭가슴살닭튀김,닭가슴살닭튀김
닭튀김_두마리같은한마리치킨주세요,두마리같은한마리치킨주세요,두마리같은한마리치킨주세요
닭튀김_땡초 치킨,땡초 치킨,땡초 치킨
닭튀김_땡초불꽃 치킨,땡초불꽃 치킨,땡초불꽃 치킨
닭튀김_레드순살 치킨,레드순살 치킨,레드순살 치킨
닭튀김_레드순살 치킨 (S),레드순살 치킨 (S),레드순살 치킨 (S)
닭튀김_레드오리지날 치킨,레드오리지날 치킨,레드오리지날 치킨
닭튀김_레드윙 치킨,레드윙 치킨,레드윙 치킨
닭튀김_레드윙 치킨 (S),레드윙 치킨 (S),레드윙 치킨 (S)
닭튀김_레드콤보 치킨,레드콤보 치킨,레드콤보 치킨
닭튀김_레드콤보 치킨 (S),레드콤보 치킨 (S),레드콤보 치킨 (S)
닭튀김_레몬크림탕슈 안심 순살,레몬크림탕슈 안심 순살,레몬크림탕슈 안심 순살
닭튀김_레블반반콤보 치킨,레블반반콤보 치킨,레블반반콤보 치킨
닭튀김_레허반반순살 치킨,레허반반순살 치킨,레허반반순살 치킨
닭튀김_로스트 치킨 윙/봉(10조각),로스트 치킨 윙/봉(10조각),로스트 치킨 윙/봉(10조각)
닭튀김_로스트 치킨 윙/봉(2조각),로스트 치킨 윙/봉(2조각),로스트 치킨 윙/봉(2조각)
닭튀김_로스트 치킨 윙/봉(6조각),로스트 치킨 윙/봉(6조각),로스트 치킨 윙/봉(6조각)
닭튀김_리얼 치킨 꿔바로우,리얼 치킨 꿔바로우,리얼 치킨 꿔바로우
닭튀김_리얼후라이드 치킨,리얼후라이드 치킨,리얼후라이드 치킨
닭튀김_마늘 치킨,마늘 치킨,마늘 치킨
닭튀김_마늘스태미나 치킨,마늘스태미나 치킨,마늘스태미나 치킨
닭튀김_마늘알마니 치킨,마늘알마니 치킨,마늘알마니 치킨
닭튀김_마라윙&봉 (10조각),마라윙&봉 (10조각),마라윙&봉 (10조각)
닭튀김_마라윙&봉 (4조각),마라윙&봉 (4조각),마라윙&봉 (4조각)
닭튀김_매달구 치킨,매달구 치킨,매달구 치킨
닭튀김_매운 간장 치킨,매운 간장 치킨,매운 간장 치킨
닭튀김_매운 양념 치킨,매운 양념 치킨,매운 양념 치킨
닭튀김_매운양념 치킨,매운양념 치킨,매운양념 치킨
닭튀김_매운양념 치킨 반마리,매운양념 치킨 반마리,매운양념 치킨 반마리
닭튀김_맵소이닭 치킨,맵소이닭 치킨,맵소이닭 치킨
닭튀김_맵슐랭 치킨 오리지널,맵슐랭 치킨 오리지널,맵슐랭 치킨 오리지널
닭튀김_모두의마요 치킨,모두의마요 치킨,모두의마요 치킨
닭튀김_목,목닭튀김,목닭튀김
닭튀김_바삭갈릭 치킨,바삭갈릭 치킨,바삭갈릭 치킨
닭튀김_바삭담백한 후라이드 치킨,바삭담백한 후라이드 치킨,바삭담백한 후라이드 치킨
닭튀김_반반순살 치킨,반반순살 치킨,반반순살 치킨
닭튀김_반반오리지날 치킨,반반오리지날 치킨,반반오리지날 치킨
닭튀김_반반윙 치킨,반반윙 치킨,반반윙 치킨
닭튀김_반반콤보 치킨,반반콤보 치킨,반반콤보 치킨
닭튀김_버팔로 윙/봉 (10개),버팔로 윙/봉 (10개),버팔로 윙/봉 (10개)
닭튀김_버팔로 윙/봉 (2개),버팔로 윙/봉 (2개),버팔로 윙/봉 (2개)
닭튀김_버팔로 윙/봉 (4개),버팔로 윙/봉 (4개),버팔로 윙/봉 (4개)
닭튀김_버팔로스틱,버팔로스틱,버팔로스틱
닭튀김_버팔로윙,버팔로윙닭튀김,버팔로윙닭튀김
닭튀김_버팔로윙&봉 (10조각),버팔로윙&봉 (10조각),버팔로윙&봉 (10조각)
닭튀김_버팔로윙&봉 (4조각),버팔로윙&봉 (4조각),버팔로윙&봉 (4조각)
닭튀김_버팔로윙(10개),버팔로윙(10개),버팔로윙(10개)
닭튀김_버팔로윙(4개),버팔로윙(4개),버팔로윙(4개)
