raw_name,heuristic_display,corrected_display
샐러드_과일리코타 샐러드,과일리코타 샐러드,
샐러드_과카몰리치킨 샐러드,과카몰리치킨 샐러드,
샐러드_그릴드 치킨 샐러드,그릴드 치킨 샐러드,
샐러드_그릴드치킨 샐러드,그릴드치킨 샐러드,
샐러드_그릴드치킨 시저 샐러드,그릴드치킨 시저 샐러드,
샐러드_그릴치킨오렌지샐러드,그릴치킨오렌지샐러드,
샐러드_단호박,단호박샐러드,단호박 샐러드
샐러드_단호박+고구마샐러드 (160g),단호박+고구마샐러드 (160g),
샐러드_단호박+고구마샐러드 (310g),단호박+고구마샐러드 (310g),
샐러드_단호박리코타과일샐러드,단호박리코타과일샐러드,
샐러드_닭가슴살,닭가슴살샐러드,닭가슴살 샐러드
샐러드_두부포케 샐러드,두부포케 샐러드,
샐러드_루꼴라샐러드,루꼴라샐러드,루꼴라 샐러드
샐러드_리코타그릴치킨샐러드,리코타그릴치킨샐러드,
샐러드_리코타그릴치킨샐러드(R),리코타그릴치킨샐러드(R),
샐러드_리코타그릴치킨샐러드(S),리코타그릴치킨샐러드(S),
샐러드_마카로니,마카로니샐러드,마카로니 샐러드
샐러드_맥앤치즈 핫도그 샐러드 박스,맥앤치즈 핫도그 샐러드 박스,
샐러드_머쉬룸불고기샐러드,머쉬룸불고기샐러드,
샐러드_멕시칸치킨 샐러드,멕시칸치킨 샐러드,
샐러드_모짜렐라루꼴라샐러드,모짜렐라루꼴라샐러드,
샐러드_베이컨크랜베리치킨샐러드,베이컨크랜베리치킨샐러드,
샐러드_불고기분짜누들샐러드,불고기분짜누들샐러드,
샐러드_새싹,새싹샐러드,
샐러드_샐러드,샐러드,
샐러드_쉬림프에그 샐러드,쉬림프에그 샐러드,
샐러드_쉬림프에그샐러드(S),쉬림프에그샐러드(S),
샐러드_스파이시쉬림프 샐러드,스파이시쉬림프 샐러드,
샐러드_시저치킨 샐러드,시저치킨 샐러드,
샐러드_썸머타코치킨샐러드,썸머타코치킨샐러드,
샐러드_양배추,양배추샐러드,
샐러드_양배추_코올슬로,양배추코올슬로샐러드,
샐러드_양상추,양상추샐러드,
샐러드_오렌지 그릴치킨 샐러드,오렌지 그릴치킨 샐러드,
샐러드_옥수수,옥수수샐러드,
샐러드_참치,참치샐러드,
샐러드_채소,채소샐러드,
샐러드_치킨콥 샐러드,치킨콥 샐러드,
샐러드_치킨텐더 샐러드,치킨텐더 샐러드,
샐러드_치킨텐더루꼴라샐러드,치킨텐더루꼴라샐러드,
샐러드_코울슬로,코울슬로샐러드,
샐러드_콘샐러드,콘샐러드,
샐러드_콥볼샐러드(R),콥볼샐러드(R),
샐러드_콥볼샐러드(S),콥볼샐러드(S),
샐러드_콥샐러드,콥샐러드,
샐러드_토마토치킨샐러드,토마토치킨샐러드,
샐러드_토마토칠리 핫도그 샐러드 박스,토마토칠리 핫도그 샐러드 박스,
샐러드_트리플 치즈 샐러드,트리플 치즈 샐러드,
샐러드_포테이토&튜나 샐러드,포테이토&튜나 샐러드,
샐러드_포테이토&튜나샐러드,포테이토&튜나샐러드,
샐러드_프레시리코타치즈 샐러드,프레시리코타치즈 샐러드,
생강차_대추 생강차 아이스(ICED),대추 생강차 아이스(ICED),
생강차_대추 생강차 핫(HOT),대추 생강차 핫(HOT),
생강차_레몬 생강차 아이스(ICED),레몬 생강차 아이스(ICED),
생강차_레몬 생강차 핫(HOT),레몬 생강차 핫(HOT),
생강차_생강차,생강차,
생강차_생강차 아이스(ICED),생강차 아이스(ICED),
생강차_생강차 핫(HOT),생강차 핫(HOT),
생강차_유자 생강차,유자 생강차,
생강차_전통 수정과 아이스(ICED),전통 수정과 아이스(ICED),
생강차_전통 수정과 핫(HOT),전통 수정과 핫(HOT),
생강차_진저티 아이스(ICED),진저티 아이스(ICED),
생강차_진저티 핫(HOT),진저티 핫(HOT),
생강차_홍시 동동 수정과 아이스(ICED) (EX),홍시 동동 수정과 아이스(ICED) (EX),
생강차_홍시 동동 수정과 아이스(ICED) (R),홍시 동동 수정과 아이스(ICED) (R),
생강차_홍시 동동 수정과 핫(HOT) (EX),홍시 동동 수정과 핫(HOT) (EX),
생강차_홍시 동동 수정과 핫(HOT) (R),홍시 동동 수정과 핫(HOT) (R),
생선까스_소스,소스생선까스,생선까스 소스
생선전_가자미,가자미생선전,가자미전
생선전_동태,동태생선전,동태전
샤베트_메론코코샤베트,메론코코샤베트,
샤베트_블루파인 샤베트,블루파인 샤베트,
샤베트_와인 샤베트,와인 샤베트,
샤브샤브_간편조리세트_소고기 샤브샤브,소고기 샤브샤브(간편조리세트),
샤브샤브_간편조리세트_소고기스키야키,소고기스키야키(간편조리세트),소고기 스키야키(간편조리세트)
샤브샤브_간편조리세트_일호식 스키야키,일호식 스키야키(간편조리세트),
샤브샤브_버섯,버섯샤브샤브,버섯 샤브샤브
샤브샤브_소고기,소고기샤브샤브,소고기 샤브샤브
샤인머스켓생크림케이크_온브릭스,온브릭스샤인머스켓생크림케이크,샤인머스켓 생크림케이크
선물세트 달보드레_하나,하나(선물세트 달보드레),
선지해장국_내장,내장선지해장국,선지해장국
선짓국_내장,내장선짓국,선짓국
소고기무국_냉동,소고기무국(냉동),
소고기볶음_고추장,고추장소고기볶음,
소고기볶음_버섯,버섯소고기볶음,
소고기볶음_채소,채소소고기볶음,
소블링 골드 에스프레소_블루드래곤,블루드래곤,소블링 골드 에스프레소(블루드래곤)
소블링커피 바닐라빈 시럽_슈거,소블링커피 바닐라빈 시럽 슈거,소블링커피 바닐라빈 시럽
송편_깨,깨송편,
수육_소고기,소고기수육,소고기 수육
순두부찌개_김치,김치순두부찌개,
스테이크_소등심,소등심스테이크,
스테이크_소안심,소안심스테이크,
스파게티_미트볼,미트볼스파게티,
스프_양송이버섯,양송이버섯,양송이버섯 스프
어묵볶음_채소,채소어묵볶음,
열무나물_된장,된장열무나물,
오므라이스_수플레 오믈렛 라이스,수플레 오믈렛 라이스,
오이무침_부추,부추오이무침,
오징어무침_채소,채소오징어무침,
오징어젓_양념,양념오징어젓,
옥수수_찐옥수수,찐옥수수,
완자전_돼지고기,돼지고기완자전,
완자전_소고기,소고기완자전,
완자전_참치,참치완자전,
완자전_해물,해물완자전,
우동_일식,일식우동,
육개장_닭고기,닭고기육개장,
잔멸치볶음_견과류,견과류잔멸치볶음,
잔멸치볶음_꽈리고추,꽈리고추잔멸치볶음,
잔멸치볶음_풋고추,풋고추잔멸치볶음,
잔멸치볶음_홍고추_풋고추,홍고추풋고추잔멸치볶음,
잡채_어묵,어묵잡채,
잡채_콩나물,콩나물잡채,
장어구이_고추장,고추장장어구이,
장조림_달걀,달걀장조림,
장조림_메추리알,메추리알장조림,
장조림_소고기,소고기장조림,
장조림_소고기_메추리알,소고기메추리알장조림,
절편_쑥,쑥절편,
조개구이_키조개,키조개조개구이,키조개구이
주먹밥_까르보나라 구운주먹밥,까르보나라 구운주먹밥,
주먹밥_매콤 로제 구운주먹밥,매콤 로제 구운주먹밥,
주먹밥_소고기,소고기주먹밥,
죽순볶음_소고기,소고기죽순볶음,
참치구이_머리,머리참치구이,참치구이(머리)
찹쌀떡_팥,팥찹쌀떡,찹쌀떡
초밥_모듬,모듬초밥,
초밥_유부초밥,유부초밥,
취나물_된장,된장취나물,
취나물_취나물(마른것),취나물(마른것),
칼국수_바지락,바지락칼국수,
케이크_롤케이크,롤케이크,
케이크_생크림케이크,생크림케이크,
콩나물무침_고춧가루,고춧가루콩나물무침,콩나물무침(고춧가루)
콩나물찜_해물,해물콩나물찜,
콩밥_검정콩,검정콩콩밥,검정콩밥
콩밥_완두콩,완두콩콩밥,완두콩밥
탕수육_새우,새우탕수육,
파이/만주_사과파이,사과파이파이/만주,
파전_해물,해물파전,
풋고추된장무침_풋고추,풋고추풋고추된장무침,
피자_치즈킹치즈크러스트 (L),치즈킹치즈크러스트 (L),
피자_치즈킹치즈크러스트 골드 (L),치즈킹치즈크러스트 골드 (L),
피자_치즈팡 팬 (L),치즈팡 팬 (L),
피자_치즈팡 피자 라이스골드 (F),치즈팡 피자 라이스골드 (F),
피자_치즈팡 피자 라이스골드 (L),치즈팡 피자 라이스골드 (L),
피자_치즈팡 피자 라이스골드 (R),치즈팡 피자 라이스골드 (R),
피자_치킨인볼케이노 피자 (M),치킨인볼케이노 피자 (M),
피자_치킨퀘사디아 피자,치킨퀘사디아 피자,
피자_콤비네이션피자,콤비네이션피자,
해장국_뼈다귀,뼈다귀해장국,
해장국_선지,선지해장국,
햄버거_불고기버거,불고기버거,
햄볶음_채소,채소햄볶음,
호떡_견과류,견과류호떡,
호박찌개_고추장,고추장호박찌개,
회덮밥_모듬,모듬회덮밥,
회무침_가오리,가오리회무침,
